source,institution,object_id,title,culture,period,object_date,country,region,subregion,locale,classification,department,medium,dimensions,credit_line,repository,object_url,primary_image,primary_image_small,is_public_domain,rights_and_reproduction,artist_display_name,artist_culture,tags,query_term
met,The Metropolitan Museum of Art,675980,Tunic,Wari,,650–1000 CE,,Andean region,,,Textiles-Woven,The Michael C. Rockefeller Wing,"Cotton, camelid hair",L. 40 3/4 x W. 39 3/4 in. (103.5 x 101 cm) approximately,"Gift of Claudia Quentin, 2021","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/675980,https://images.metmuseum.org/CRDImages/ao/original/DP-21885-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-21885-001.jpg,True,,Wari artist,,,Andean textile
met,The Metropolitan Museum of Art,320054,Miniature tabard,Inca and Spanish,,1600–1700,Bolivia or Peru,,,,Textiles-Woven,The Michael C. Rockefeller Wing,"Cotton, camelid hair, silk, metal",H. 14 1/2 x W. 11 in. (36.8 x 27.9 cm),"Gift of Penny Righthand, in memory of Richard I. Levine, 2007","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/320054,https://images.metmuseum.org/CRDImages/ao/original/DP107700.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP107700.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,313153,Tunic with Felines,Chimú,,1450–1550,Peru,,,,Textiles-Woven,The Michael C. Rockefeller Wing,"Cotton, camelid hair",H. 25 x  W. 70  in. (63.5 x 177.8 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/313153,https://images.metmuseum.org/CRDImages/ao/original/DP-39316-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-39316-001.jpg,True,,,,Cats,Andean textile
met,The Metropolitan Museum of Art,307991,Tunic fragment,Wari,,650–1000 CE,Peru,,,,Textiles-Woven,The Michael C. Rockefeller Wing,"Camelid hair, cotton","Overall: 20 7/8 x 27 1/4 in. (53.01 x 69.22 cm)
Other: 20 7/8 in. (53.01 cm)","Gift of George D. Pratt, 1930","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/307991,https://images.metmuseum.org/CRDImages/ao/original/77991.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/77991.jpg,True,,Wari artist,,,Andean textile
met,The Metropolitan Museum of Art,307977,Feathered Tunic,Chimú,,1200 – 1400 CE,Peru,,,,Feathers-Costumes,The Michael C. Rockefeller Wing,"Cotton, feathers",W. 30 x H. 35 in. (76.2 x 88.9 cm),"Gift of George D. Pratt, 1929","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/307977,https://images.metmuseum.org/CRDImages/ao/original/DP158699.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP158699.jpg,True,,Chimú artist(s),,,Andean textile
met,The Metropolitan Museum of Art,312615,Tunic Fragment,Wari,,7th–9th century,Peru,,,,Textiles-Woven,The Michael C. Rockefeller Wing,"Camelid hair, cotton",H. 12 7/8  x  W. 21in. (32.7 x 53.3cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312615,https://images.metmuseum.org/CRDImages/ao/original/TP412.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/TP412.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,307975,Tunic with Confronting Catfish,Nasca-Wari,,800–850 CE,Peru,,,,Textiles-Woven,The Michael C. Rockefeller Wing,"Camelid hair, tapestry-weave",H. 21 1/2 × W. 43 1/4 in. (54.6 × 109.9 cm),"Gift of George D. Pratt, 1929","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/307975,https://images.metmuseum.org/CRDImages/ao/original/DT829.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT829.jpg,True,,,,Fish,Andean textile
met,The Metropolitan Museum of Art,312677,Feathered panel,Wari,,650–1000 CE,Peru,South Coast,,,Textiles-Featherwork,The Michael C. Rockefeller Wing,"Feathers, cotton, camelid fiber",H. 29 × W. 83 7/8 in. (73.66 × 213.04 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/312677,https://images.metmuseum.org/CRDImages/ao/original/DP-15008-008.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-15008-008.jpg,True,,Wari artist(s),,,Andean textile
met,The Metropolitan Museum of Art,751900,Votive checkerboard tunic,Inca,,1460–1626,"Argentina, Bolivia, Chile, or Peru",,,,Textiles-Costumes,The Michael C. Rockefeller Wing,Camelid fiber,H. 20 5/8 × W. 16 1/2 in. (52.4 × 41.9 cm),"Purchase, Fletcher Fund, Claudia Quentin Gift, and Harris Brisbane Dick Fund, 2018","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/751900,https://images.metmuseum.org/CRDImages/ao/original/DP-14285-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-14285-001.jpg,True,,Inca artist(s),,,Andean textile
met,The Metropolitan Museum of Art,751901,Tunic,Inca,,1400–1535 CE,"Argentina, Bolivia, Chile, or Peru",,,,Textiles-Costumes,The Michael C. Rockefeller Wing,Camelid fiber,H. 34 1/4 x W. 30 1/8 in. (87 x 76.5 cm),"Purchase, Fletcher Fund, Claudia Quentin Gift, and Harris Brisbane Dick Fund, 2017","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/751901,https://images.metmuseum.org/CRDImages/ao/original/DP-14281-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-14281-001.jpg,True,,Inca artist(s),,,Andean textile
met,The Metropolitan Museum of Art,316962,Four-Cornered Hat,Wari,,7th–9th century,Peru,,,,Textiles-Costumes,The Michael C. Rockefeller Wing,Camelid hair,H. 4 1/2 × Circum. 19 7/8 in. (11.4 × 50.5 cm),"Bequest of Arthur M. Bullowa, 1993","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/316962,https://images.metmuseum.org/CRDImages/ao/original/DP-29609-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-29609-001.jpg,True,,,,,Andean textile
